Date,Price,Open,High,Low,Change %
"Jan 15, 2021",73.114,73.089,73.184,72.99,0.06%
"Jan 14, 2021",73.07,73.135,73.239,72.923,-0.12%
"Jan 13, 2021",73.16,73.19,73.238,73.061,-0.08%
"Jan 12, 2021",73.22,73.494,73.494,73.2,-0.32%
"Jan 11, 2021",73.455,73.45,73.6,73.357,0.17%
"Jan 08, 2021",73.33,73.455,73.509,73.201,-0.12%
"Jan 07, 2021",73.42,73.161,73.482,73.063,0.41%
"Jan 06, 2021",73.118,73.168,73.229,73.046,-0.00%
"Jan 05, 2021",73.12,73.08,73.29,72.98,0.07%
"Jan 04, 2021",73.07,73.106,73.134,72.83,-0.07%
"Jan 01, 2021",73.12,73.1,73.128,73.022,0.11%
"Dec 31, 2020",73.036,73.195,73.243,72.951,-0.12%
